Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2012,188499,HAY GRAIN ,35,Lassen ,8350,2.6,21700,136.13,Tons ,2954000
2012,188499,HAY GRAIN ,37,Los Angeles ,3160,2.96,9350,218.4,Tons ,2042000
2012,188499,HAY GRAIN ,39,Madera ,3400,2.72,9250,154.92,Tons ,1433000
2012,188499,HAY GRAIN ,47,Merced ,35400,4.29,152000,149.66,Tons ,22748000
2012,188499,HAY GRAIN ,49,Modoc ,10050,3,30150,150,Tons ,4522500
2012,188499,HAY GRAIN ,53,Monterey ,1092,2.12,2320,215.95,Tons ,501000
2012,188499,HAY GRAIN ,55,Napa ,624,2.5,1560,150,Tons ,234000
2012,188499,HAY GRAIN ,61,Placer ,743,3.55,2640,147.35,Tons ,389000
2012,188499,HAY GRAIN ,63,Plumas ,1000,2,2000,143,Tons ,286000
2012,188499,HAY GRAIN ,65,Riverside ,2700,1.53,4140,200.24,Tons ,829000
2012,188499,HAY GRAIN ,67,Sacramento ,304,2.89,880,151.14,Tons ,133000
2012,188499,HAY GRAIN ,69,San Benito ,13900,1.5,20800,94.86,Tons ,1973000
2012,188499,HAY GRAIN ,73,San Diego ,4750,2,9500,176.11,Tons ,1673000
2012,188499,HAY GRAIN ,79,San Luis Obisp ,10500,1.79,18800,220.9,Tons ,4153000
2012,188499,HAY GRAIN ,81,San Mateo ,292,2.76,806,183.62,Tons ,148000
2012,188499,HAY GRAIN ,83,Santa Barbara ,4100,2.28,9350,208.13,Tons ,1946000
2012,188499,HAY GRAIN ,85,Santa Clara ,3610,2.3,8300,170.96,Tons ,1419000
2012,188499,HAY GRAIN ,91,Sierra ,640,2.5,1600,153.75,Tons ,246000
2012,188499,HAY GRAIN ,95,Solano ,10500,3.19,33500,155.76,Tons ,5218000
2012,188499,HAY GRAIN ,97,Sonoma ,4775,2.62,12500,145.28, ,1816000
2012,188499,HAY GRAIN ,99,Stanislaus ,33600,3.15,106000,151.51,Tons ,16060000
2012,188499,HAY GRAIN ,101,Sutter ,2910,3.71,10800,152.31,Tons ,1645000
2012,188499,HAY GRAIN ,103,Tehama ,4070,1.87,7610,161.89,TONS ,1232000
2012,188499,HAY GRAIN ,105,Trinity ,275,1.14,314,73.57,Tons ,23100
2012,188499,HAY GRAIN ,113,Yolo ,10600,3.16,33500,144.69,Tons ,4847000
2012,188499,HAY GRAIN ,991,Sum of Others ,19100,4.86,92780,150.97,Tons ,14007000
