id,name,type,year,variable,value
0400000US42,Pennsylvania State,state,"2,018",per_capita_gdp_percent_change,2.481837961
0400000US41,Oregon State,state,"2,018",per_capita_gdp_percent_change,2.711028959
0400000US02,Alaska State,state,"2,018",per_capita_gdp_percent_change,1.012992115
0400000US27,Minnesota State,state,"2,018",per_capita_gdp_percent_change,1.855338377
0400000US15,Hawaii State,state,"2,018",per_capita_gdp_percent_change,2.66612556
0400000US40,Oklahoma State,state,"2,018",per_capita_gdp_percent_change,2.328255246
0400000US16,Idaho State,state,"2,018",per_capita_gdp_percent_change,1.862928981
0400000US39,Ohio State,state,"2,018",per_capita_gdp_percent_change,1.644685194
0400000US17,Illinois State,state,"2,018",per_capita_gdp_percent_change,2.505853212
0400000US38,North Dakota State,state,"2,018",per_capita_gdp_percent_change,2.975441505
0400000US54,West Virginia State,state,"2,018",per_capita_gdp_percent_change,2.8930883
0400000US18,Indiana State,state,"2,018",per_capita_gdp_percent_change,1.545604622
0400000US37,North Carolina State,state,"2,018",per_capita_gdp_percent_change,1.324307172
0400000US44,Rhode Island State,state,"2,018",per_capita_gdp_percent_change,1.120504027
0400000US56,Wyoming State,state,"2,018",per_capita_gdp_percent_change,0.319960995
310M200US39820,"Redding, CA Metro Area",metro,"2,005",per_capita_gdp,"32,106"
310M200US19460,"Decatur, AL Metro Area",metro,"2,004",per_capita_gdp,"34,616"
310M200US39540,"Racine, WI Metro Area",metro,"2,007",per_capita_gdp,"37,264"
310M200US36420,"Oklahoma City, OK Metro Area",metro,"2,010",per_capita_gdp,"44,491"
310M200US30700,"Lincoln, NE Metro Area",metro,"2,006",per_capita_gdp,"48,019"
0400000US41,Oregon State,state,"2,003",per_capita_gdp,"41,040"
310M200US35840,"North Port-Sarasota-Bradenton, FL Metro Area",metro,"2,005",per_capita_gdp,"41,571"
310M200US24780,"Greenville, NC Metro Area",metro,"2,015",per_capita_gdp_percent_change,-57.2159580781
310M200US26140,"Homosassa Springs, FL Metro Area",metro,"2,013",per_capita_gdp,"21,418"
0400000US18,Indiana State,state,"2,006",per_capita_gdp_percent_change,-8.6349370307
0400000US29,Missouri State,state,"2,006",per_capita_gdp_percent_change,-18.6578077888
310M200US24220,"Grand Forks, ND-MN Metro Area",metro,"2,002",per_capita_gdp_percent_change,-1.7433427297
0400000US04,Arizona State,state,"2,006",per_capita_gdp,"45,991"
0400000US38,North Dakota State,state,"2,016",per_capita_gdp,"67,601"
310M200US49340,"Worcester, MA-CT Metro Area",metro,"2,004",per_capita_gdp_percent_change,-17.0442097884
310M200US21820,"Fairbanks, AK Metro Area",metro,"2,009",per_capita_gdp,"51,564"
310M200US22520,"Florence-Muscle Shoals, AL Metro Area",metro,"2,013",per_capita_gdp,"28,374"
310M200US31740,"Manhattan, KS Metro Area",metro,"2,008",per_capita_gdp,"32,189"
310M200US33260,"Midland, TX Metro Area",metro,"2,010",per_capita_gdp_percent_change,188.7437135131
310M200US46220,"Tuscaloosa, AL Metro Area",metro,"2,004",per_capita_gdp,"37,710"
310M200US37460,"Panama City, FL Metro Area",metro,"2,007",per_capita_gdp,"40,828"
310M200US21500,"Erie, PA Metro Area",metro,"2,011",per_capita_gdp_percent_change,-18.6204431737
310M200US10180,"Abilene, TX Metro Area",metro,"2,017",per_capita_gdp_percent_change,11.9209597742
310M200US26580,"Huntington-Ashland, WV-KY-OH Metro Area",metro,"2,017",per_capita_gdp_percent_change,-38.4008896856
310M200US31900,"Mansfield, OH Metro Area",metro,"2,014",per_capita_gdp_percent_change,-21.9609647423
310M200US28740,"Kingston, NY Metro Area",metro,"2,012",per_capita_gdp,"28,556"
310M200US13900,"Bismarck, ND Metro Area",metro,"2,005",per_capita_gdp_percent_change,-28.1115952309
310M200US11180,"Ames, IA Metro Area",metro,"2,015",per_capita_gdp_percent_change,-33.0320472244
0400000US12,Florida State,state,"2,006",per_capita_gdp,"45,926"
310M200US24860,"Greenville-Anderson-Mauldin, SC Metro Area",metro,"2,009",per_capita_gdp_percent_change,-3.7141488852
310M200US33220,"Midland, MI Metro Area",metro,"2,006",per_capita_gdp_percent_change,25.8840052875
310M200US39900,"Reno, NV Metro Area",metro,"2,012",per_capita_gdp,"43,245"
0400000US22,Louisiana State,state,"2,016",per_capita_gdp,"48,753"
310M200US47940,"Waterloo-Cedar Falls, IA Metro Area",metro,"2,007",per_capita_gdp,"47,383"
310M200US18580,"Corpus Christi, TX Metro Area",metro,"2,008",per_capita_gdp,"43,488"
0400000US31,Nebraska State,state,"1,999",per_capita_gdp_percent_change,24.6010982376
0400000US51,Virginia State,state,"2,007",per_capita_gdp,"55,090"
310M200US15180,"Brownsville-Harlingen, TX Metro Area",metro,"2,006",per_capita_gdp_percent_change,-52.0832845399
310M200US25260,"Hanford-Corcoran, CA Metro Area",metro,"2,015",per_capita_gdp_percent_change,-25.2358075307
310M200US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",metro,"2,007",per_capita_gdp,"61,233"
310M200US13460,"Bend-Redmond, OR Metro Area",metro,"2,008",per_capita_gdp,"40,226"
310M200US39340,"Provo-Orem, UT Metro Area",metro,"2,002",per_capita_gdp_percent_change,-23.1178535039
310M200US20500,"Durham-Chapel Hill, NC Metro Area",metro,"2,014",per_capita_gdp,"72,645"
310M200US12980,"Battle Creek, MI Metro Area",metro,"2,009",per_capita_gdp,"36,275"
310M200US29620,"Lansing-East Lansing, MI Metro Area",metro,"2,012",per_capita_gdp_percent_change,-3.0062464226
0400000US54,West Virginia State,state,"2,013",per_capita_gdp,"37,876"
310M200US21780,"Evansville, IN-KY Metro Area",metro,"2,013",per_capita_gdp_percent_change,-18.5337535246
0400000US01,Alabama State,state,"2,008",per_capita_gdp_percent_change,-18.1931801612
310M200US29540,"Lancaster, PA Metro Area",metro,"2,016",per_capita_gdp,"45,846"
310M200US19460,"Decatur, AL Metro Area",metro,"2,017",per_capita_gdp,"30,645"
0400000US30,Montana State,state,"1,997",per_capita_gdp,"32,780"
310M200US24220,"Grand Forks, ND-MN Metro Area",metro,"2,004",per_capita_gdp,"36,288"
310M200US13380,"Bellingham, WA Metro Area",metro,"2,009",per_capita_gdp_percent_change,7.7851891523
310M200US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",metro,"2,014",per_capita_gdp,"46,650"
310M200US35380,"New Orleans-Metairie, LA Metro Area",metro,"2,006",per_capita_gdp_percent_change,8.970326598
310M200US24340,"Grand Rapids-Wyoming, MI Metro Area",metro,"2,009",per_capita_gdp,"40,438"
310M200US40220,"Roanoke, VA Metro Area",metro,"2,006",per_capita_gdp_percent_change,17.5294179727
310M200US44700,"Stockton-Lodi, CA Metro Area",metro,"2,013",per_capita_gdp,"29,819"
310M200US19180,"Danville, IL Metro Area",metro,"2,005",per_capita_gdp,"31,677"
310M200US11700,"Asheville, NC Metro Area",metro,"2,004",per_capita_gdp,"34,887"
310M200US33220,"Midland, MI Metro Area",metro,"2,016",per_capita_gdp,"59,170"
310M200US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",metro,"2,013",per_capita_gdp,"42,992"
310M200US46220,"Tuscaloosa, AL Metro Area",metro,"2,005",per_capita_gdp_percent_change,-14.8033756743
310M200US14010,"Bloomington, IL Metro Area",metro,"2,014",per_capita_gdp,"56,600"
310M200US19300,"Daphne-Fairhope-Foley, AL Metro Area",metro,"2,003",per_capita_gdp,"31,144"
310M200US21660,"Eugene, OR Metro Area",metro,"2,017",per_capita_gdp,"36,405"
310M200US28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",metro,"2,003",per_capita_gdp_percent_change,-18.6791744841
310M200US36220,"Odessa, TX Metro Area",metro,"2,017",per_capita_gdp_percent_change,91.5958012224
310M200US36540,"Omaha-Council Bluffs, NE-IA Metro Area",metro,"2,015",per_capita_gdp,"59,755"
310M200US15980,"Cape Coral-Fort Myers, FL Metro Area",metro,"2,007",per_capita_gdp_percent_change,-19.1351739834
310M200US26820,"Idaho Falls, ID Metro Area",metro,"2,006",per_capita_gdp,"42,555"
0400000US31,Nebraska State,state,"1,998",per_capita_gdp,"42,640"
310M200US32580,"McAllen-Edinburg-Mission, TX Metro Area",metro,"2,002",per_capita_gdp_percent_change,-53.0399687541
310M200US46140,"Tulsa, OK Metro Area",metro,"2,011",per_capita_gdp,"50,977"
0400000US08,Colorado State,state,"2,006",per_capita_gdp,"54,259"
310M200US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",metro,"2,007",per_capita_gdp_percent_change,33.5838797377
310M200US29620,"Lansing-East Lansing, MI Metro Area",metro,"2,002",per_capita_gdp,"43,621"
310M200US26300,"Hot Springs, AR Metro Area",metro,"2,010",per_capita_gdp_percent_change,-31.8207348467
310M200US45500,"Texarkana, TX-AR Metro Area",metro,"2,006",per_capita_gdp_percent_change,-13.0784761702
310M200US16940,"Cheyenne, WY Metro Area",metro,"2,017",per_capita_gdp_percent_change,23.3746948227
310M200US49180,"Winston-Salem, NC Metro Area",metro,"2,014",per_capita_gdp_percent_change,-15.0004491152
310M200US22420,"Flint, MI Metro Area",metro,"2,015",per_capita_gdp,"29,091"
